,titles,area,city,company,job_type,career_level,experience_needed,skills_and_tools,urls
32,Business Analyst Team Lead,Dokki,Giza,Future Group,Full Time,Experienced,3 - 5 Yrs of Exp,Analysis | BI | SQL | business | Economics | Research | Political Science | Statistics,https://wuzzuf.net/jobs/p/uXkwy1X0HrQ4-Business-Analyst-Team-Lead-Future-Group-Giza-Egypt?o=33&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
33,SAP Business Analyst,6th of October,Giza,Seoudi Supermarket,Full Time,Experienced,3 - 6 Yrs of Exp,Analysis | Business Analysis | computer | Computer Science | Information Technology (IT),https://wuzzuf.net/jobs/p/Ku70z3FTTTLa-SAP-Business-Analyst-Seoudi-Supermarket-Giza-Egypt?o=34&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
34,BI Analyst,New Cairo,Cairo,Webhelp,Full Time,Entry Level,2+ Yrs of Exp,CRM | Power BI | SQL | Computer Science | Engineering,https://wuzzuf.net/jobs/p/RSOdwvluUXQA-BI-Analyst-Webhelp-Cairo-Egypt?o=35&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
35,Business Analyst (Software),Nasr City,Cairo,Taqneen,Full Time,Experienced,4 - 7 Yrs of Exp,Information Technology (IT) | UI/UX | UI Design | Computer Science | Business Analysis | Communication skills | Software Development | Analysis,https://wuzzuf.net/jobs/p/rMz2DuVoia6K-Business-Analyst-Software-Taqneen-Cairo-Egypt?o=36&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
36,Software Business Analyst,Mohandessin,Giza,Keys Group Services,Full Time,Experienced,3+ Yrs of Exp,Architecture | ARIS | Business Analysis | Computer Science | Enterprise | Information Technology (IT) | is,https://wuzzuf.net/jobs/p/OchJEFVbvHLC-Software-Business-Analyst-Keys-Group-Services-Giza-Egypt?o=37&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
37,Costing Analyst,6th of October,Giza,IDH,Full Time,Entry Level,1 - 3 Yrs of Exp,English | Finance | Commerce | Accounting | Financial Analysis | Financial Management | Costing | Computer Skills,https://wuzzuf.net/jobs/p/tucQGj5EeY2x-Costing-Analyst-IDH-Giza-Egypt?o=38&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
38,Senior Business Analyst,Cairo,Egypt,CYSHIELD,Full Time,Experienced,2 - 3 Yrs of Exp,Analyst | business | Analysis | Business Development | Business Analysis | Information Technology (IT) | Software Development,https://wuzzuf.net/jobs/p/qyEYhkjzrB67-Senior-Business-Analyst-CYSHIELD-Cairo-Egypt?o=39&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
39,Business Analyst - Growing Multinational Co,Suez,Egypt,Confidential,Full Time,Experienced,4 - 7 Yrs of Exp,Business Analysis | Information Technology (IT) | Computer Science | Analysis | Arabic | Documentation | Agile,https://wuzzuf.net/jobs/p/lIU65847E9ch-Business-Analyst---Growing-Multinational-Co-Suez-Egypt?o=40&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
40,Product Analyst - Intern,Maadi,Cairo,Wego,Internship,Entry Level,Analyst/Research,business | Business Analysis | Communication skills | Computer Science | E-Commerce | Engineering | Information Technology (IT) | Product | SQL,https://wuzzuf.net/internship/48e8tIzWG38Q-Product-Analyst---Intern-Wego-Cairo-Egypt?o=41&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
41,Information Security Analyst,Maadi,Cairo,Confidential,Full Time,Experienced,3 - 5 Yrs of Exp,Information Security | IT | Computer Science | Information Systems | CEH | Security Systems | CISM,https://wuzzuf.net/jobs/p/J7OpYr9z50zT-Information-Security-Analyst-Cairo-Egypt?o=42&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
